DateTime,Entries,UniqueIPs
1506454321,2496,2557
1506454922,2492,2554
1506456122,2491,2553
1506456722,2491,2553
1506457321,2496,2558
1506457921,2497,2559
1506458522,2503,2565
1506459722,2503,2567
1506460322,2507,2571
1506460921,2510,2574
1506462122,2508,2572
1506462721,2507,2573
1506463321,2508,2574
1506464521,2509,2575
1506465121,2510,2576
1506465721,2512,2578
1506466321,2511,2577
1506466922,2515,2581
1506468721,2516,2582
1506469321,2522,2588
1506469922,2522,2588
1506470522,2525,2591
1506471122,2526,2592
1506471721,2527,2593
1506472921,2526,2591
1506473522,2523,2588
1506474122,2524,2589
1506475321,2522,2587
1506476522,2511,2575
1506477121,2515,2580
1506478921,2515,2580
1506480121,2518,2583
1506481321,2517,2582
1506482522,2518,2584
1506483121,2511,2576
1506483721,2516,2581
1506484322,2515,2581
1506484922,2518,2584
1506485521,2520,2586
1506486121,2520,2586
1506486722,2521,2587
1506487321,2520,2586
1506488522,2522,2588
1506489121,2521,2587
1506490321,2540,2606
1506490922,2543,2609
1506491521,2545,2613
1506492122,2547,2615
1506492722,2542,2607
1506493322,2546,2611
1506493922,2547,2612
1506495121,2549,2614
1506495722,2546,2611
1506496921,2553,2621
1506498121,2545,2614
1506499321,2551,2625
1506500522,2550,2624
1506501121,2552,2626
1506501722,2553,2628
1506502921,2550,2625
1506503521,2550,2625
1506504122,2549,2624
1506505321,2550,2625
1506506523,2549,2624
1506507722,2545,2620
1506508922,2546,2621
1506510122,2548,2623
1506510722,2563,2641
1506511322,2562,2639
1506511922,2567,2644
1506513721,2572,2649
1506516122,2571,2646
1506516721,2572,2647
1506517922,2574,2649
1506519722,2572,2647
1506522121,2575,2651
1506522722,2574,2650
1506523321,2573,2649
1506524522,2575,2651
1506526922,2574,2650
1506528122,2577,2652
1506528722,2576,2651
1506529322,2574,2649
1506530522,2573,2648
1506531121,2575,2650
1506531721,2576,2651
1506535321,2574,2649
1506535922,2572,2647
1506536521,2570,2645
1506537121,2571,2646
1506537721,2571,2646
1506538322,2570,2645
1506538922,2572,2647
1506539521,2572,2647
1506540721,2572,2647
1506541322,2567,2642
1506542522,2566,2641
1506543722,2568,2643
1506544322,2569,2644
1506544921,2573,2648
1506546122,2574,2649
1506546722,2573,2648
1506547322,2573,2648
1506547922,2578,2653
1506548521,2579,2654
1506550921,2575,2650
1506552722,2574,2649
1506554522,2571,2646
1506555721,2573,2647
1506556922,2574,2648
1506557522,2575,2649
1506559321,2581,2655
1506560523,2584,2658
1506561121,2587,2661
1506562322,2588,2662
1506562922,2589,2663
1506563521,2588,2663
1506564122,2587,2662
1506566521,2589,2664
1506567722,2590,2665
1506568321,2590,2665
1506568922,2589,2664
1506570122,2588,2663
1506571322,2584,2659
1506571922,2585,2660
1506572521,2582,2657
1506573721,2579,2654
1506574921,2580,2655
1506575522,2583,2658
1506576122,2584,2659
1506577321,2583,2658
1506577921,2625,2700
1506578522,2627,2702
1506579722,2638,2713
1506580922,2657,2732
1506581521,2660,2735
1506582122,2669,2744
1506583322,2672,2747
1506584522,2673,2748
1506585121,2680,2755
1506585721,2679,2754
1506586321,2682,2757
1506586921,2690,2765
1506587522,2692,2767
1506588121,2694,2769
1506588721,2696,2771
1506589321,2687,2762
1506591721,2686,2761
1506592921,2684,2759
1506595322,2685,2760
1506597722,2686,2761
1506598921,2687,2762
1506600122,2688,2763
1506601321,2689,2764
1506603722,2689,2764
1506604922,2687,2762
1506606122,2686,2761
1506606721,2683,2758
1506607922,2683,2758
1506608522,2684,2759
1506609121,2689,2764
1506609722,2691,2766
1506610321,2692,2767
1506612122,2690,2765
1506612722,2693,2768
1506613321,2690,2765
1506613921,2691,2766
1506614522,2692,2767
1506615122,2694,2769
1506616922,2698,2773
1506617522,2701,2776
1506618121,2707,2782
1506620521,2705,2780
1506622922,2704,2779
1506623521,2702,2777
1506625322,2704,2779
1506627721,2700,2775
1506628322,2704,2779
1506628921,2706,2781
1506630122,2703,2778
1506630721,2703,2778
1506631321,2705,2780
1506632521,2708,2785
1506633121,2711,2788
1506634322,2713,2790
1506635521,2715,2792
1506636121,2717,2794
1506637322,2718,2795
1506637922,2720,2797
1506640321,2718,2795
1506640922,2717,2794
1506642122,2718,2795
1506642721,2716,2793
1506643322,2717,2794
1506643921,2714,2791
1506644521,2713,2790
1506645722,2712,2789
1506646921,2714,2791
1506647521,2714,2791
1506648122,2716,2793
1506650521,2714,2791
1506651721,2712,2789
1506652321,2712,2789
1506654122,2710,2787
1506656521,2708,2785
1506657721,2707,2784
1506658922,2706,2783
1506659522,2703,2780
1506660122,2704,2781
1506661322,2707,2784
1506661922,2702,2779
1506662521,2704,2781
1506663121,2702,2779
1506663722,2704,2781
1506664922,2705,2782
1506666122,2708,2785
1506666722,2707,2784
1506667322,2708,2785
1506668522,2709,2786
1506669121,2709,2786
1506669721,2706,2783
1506670322,2706,2783
1506672721,2704,2781
1506673321,2703,2781
1506674522,2705,2783
1506675721,2704,2782
1506676922,2702,2780
1506677521,2695,2773
1506678122,2694,2772
1506679321,2693,2771
1506679921,2695,2773
1506680523,2696,2774
1506681121,2694,2772
1506682922,2689,2767
1506684121,2690,2768
1506685322,2675,2752
1506687122,2673,2750
1506687722,2675,2752
1506688921,2667,2744
1506690122,2665,2742
1506691922,2666,2743
1506692521,2669,2746
1506694921,2671,2748
1506695522,2671,2748
1506696121,2672,2749
1506697322,2669,2745
1506697921,2674,2750
1506699722,2675,2751
1506700921,2671,2746
1506701522,2663,2738
1506702121,2665,2740
1506702722,2665,2740
1506703322,2668,2743
1506704522,2669,2744
1506705721,2670,2745
1506706321,2673,2748
1506706922,2677,2754
1506707522,2678,2755
1506708121,2679,2756
1506708722,2678,2755
1506709321,2681,2758
1506709921,2680,2757
1506710522,2682,2759
1506711121,2681,2758
1506711722,2679,2756
1506712922,2666,2743
1506714121,2658,2735
1506714721,2661,2738
1506715322,2660,2737
1506716521,2659,2736
1506717122,2663,2740
1506717722,2665,2742
1506718322,2667,2744
1506719521,2668,2745
1506720122,2669,2746
1506721322,2669,2746
1506721921,2672,2749
1506722522,2674,2751
1506723722,2671,2748
1506724321,2670,2747
1506726722,2670,2746
1506727321,2670,2746
1506727922,2669,2745
1506728522,2671,2747
1506729722,2672,2748
1506730923,2672,2747
1506731522,2667,2742
1506732122,2669,2744
1506732722,2668,2743
1506734522,2666,2742
1506735722,2664,2740
1506737522,2664,2740
1506738121,2665,2741
1506739322,2666,2742
1506739921,2669,2745
1506740522,2667,2743
1506741122,2668,2744
1506742321,2669,2745
1506742921,2667,2743
1506744122,2664,2740
1506745922,2666,2742
1506746522,2666,2742
1506747121,2668,2744
1506747722,2670,2746
1506748322,2669,2745
1506748922,2671,2747
1506750122,2674,2750
1506750721,2679,2755
1506751322,2679,2755
1506753122,2683,2759
1506753722,2683,2759
1506754321,2678,2754
1506754922,2674,2749
1506755521,2669,2744
1506757322,2671,2746
1506757922,2679,2754
1506758522,2684,2759
1506759721,2683,2758
1506760322,2684,2759
1506760921,2686,2761
1506761521,2687,2762
1506763321,2690,2764
1506763922,2692,2766
1506765721,2692,2766
1506767521,2695,2769
1506768122,2695,2769
1506768721,2696,2770
1506769921,2698,2772
1506770522,2700,2774
1506771721,2702,2777
1506772922,2696,2771
1506773521,2691,2766
1506774121,2691,2767
1506775322,2693,2769
1506775921,2694,2770
1506777722,2695,2771
1506778322,2696,2772
1506778922,2699,2775
1506780121,2701,2777
1506780722,2703,2779
1506781321,2701,2777
1506781921,2702,2778
1506783121,2703,2779
1506784321,2700,2776
1506784923,2701,2777
1506786122,2702,2778
1506786721,2706,2782
1506787321,2705,2781
1506787922,2707,2783
1506788521,2712,2788
1506789121,2715,2791
1506789722,2717,2793
1506790322,2719,2795
1506790922,2718,2794
1506791522,2722,2798
1506792122,2719,2795
1506792721,2718,2794
1506793321,2719,2795
1506794521,2719,2795
1506795121,2720,2796
1506796322,2719,2795
1506796921,2729,2805
1506798122,2729,2805
1506799322,2728,2804
1506801122,2728,2804
1506801721,2732,2808
1506802321,2736,2812
1506802922,2732,2808
1506803522,2734,2810
1506804122,2735,2811
1506805322,2738,2814
1506805921,2740,2816
1506806521,2745,2821
1506807121,2747,2823
1506807722,2750,2826
1506809521,2753,2829
1506810121,2749,2825
1506810721,2750,2826
1506811321,2754,2831
1506811922,2760,2837
1506812521,2761,2838
1506813122,2762,2839
1506813722,2765,2842
1506814321,2767,2844
1506814921,2768,2845
1506815521,2770,2847
1506816722,2771,2848
1506817322,2773,2850
1506818521,2775,2852
1506819722,2777,2854
1506820322,2784,2861
1506820922,2786,2863
1506821522,2785,2861
1506822122,2789,2865
1506822722,2793,2869
1506823321,2793,2869
1506823922,2798,2874
1506824522,2799,2875
1506825721,2800,2877
1506826922,2802,2879
1506827521,2805,2883
1506828122,2813,2892
1506829321,2814,2893
1506830522,2816,2895
1506831121,2815,2895
1506831722,2818,2898
1506832922,2817,2897
1506833522,2820,2900
1506834121,2825,2905
1506835321,2827,2907
1506835922,2831,2911
1506836522,2832,2912
1506837722,2833,2913
1506838921,2835,2915
1506839521,2838,2918
1506840122,2839,2919
1506840722,2836,2916
1506841322,2849,2930
1506842522,2855,2936
1506843121,2856,2937
1506843721,2859,2940
1506844322,2862,2943
1506846122,2859,2940
1506846721,2863,2944
1506847322,2865,2946
1506848521,2868,2949
1506849722,2869,2950
1506850322,2873,2954
1506852121,2867,2948
1506853322,2867,2948
1506854521,2868,2952
1506855722,2869,2953
1506856921,2868,2952
1506858122,2869,2953
1506859321,2868,2952
1506859922,2868,2954
1506860521,2869,2955
1506861121,2876,2962
1506861722,2877,2963
1506862922,2875,2961
1506863522,2875,2963
1506864122,2878,2966
1506864722,2881,2974
1506865322,2877,2972
1506865922,2880,2976
1506866522,2875,2971
1506867122,2877,2973
1506868322,2878,2975
1506869522,2879,2976
1506870122,2881,2978
1506870722,2880,2977
1506871321,2882,2979
1506872522,2883,2980
